Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
"Title: Estimated number of persons supervised by U.S. adult correctional systems, by correctional status, 1980-2014",,,,,,,,,,,,,,,,,,,,,,
"Data source:  Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, Census of Jail Inmates, and National Prisoner Statistics Program, 1980-2014",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-207-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 1/12/2016,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Estimated number of persons supervised by U.S. adult correctional systems, by correctional status, 1980-2014",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Incarcerated population,,,,,,,,,,,,,,,,
,,Community supervision population,,,,,,Prison,,,,,,,,,,,,,,
Year,Total correctional population/a,Total/b,Probation,Parole,,Total/c,Local jail,Total,State ,Federal,,,,,,,,,,,,
1980,"1,842,100","1,338,500","1,118,100","220,400",,"503,600","184,000","329,800","305,500","24,400",,,,,,,,,,,,
1981,"2,002,600","1,445,800","1,222,000","223,800",,"556,800","196,800","369,900","341,800","28,100",,,,,,,,,,,,
1982,"2,191,700","1,579,200","1,335,400","243,900",,"612,500","209,600","413,800","384,100","29,700",,,,,,,,,,,,
1983,"2,401,400","1,754,000","1,502,200","251,700",,"647,400","223,600","436,900","404,900","31,900",,,,,,,,,,,,
1984,"2,662,500","1,979,700","1,711,200","268,500",,"682,800","234,500","462,000","427,700","34,300",,,,,,,,,,,,
1985,"2,891,800","2,147,600","1,870,100","277,400",,"744,200","256,600","502,500","462,300","40,200",,,,,,,,,,,,
1986,"3,236,100","2,421,200","2,094,400","326,800",,"815,000","274,400","545,000","500,600","44,400",,,,,,,,,,,,
1987,"3,462,900","2,604,200","2,242,100","362,200",,"858,700","295,900","585,100","536,800","48,300",,,,,,,,,,,,
1988,"3,714,800","2,764,500","2,356,500","408,000",,"950,400","343,600","627,600","577,700","49,900",,,,,,,,,,,,
1989,"4,056,200","2,977,300","2,520,500","456,800",,"1,078,900","395,600","712,400","653,200","59,200",,,,,,,,,,,,
1990,"4,350,300","3,201,600","2,670,200","531,400",,"1,148,700","405,300","773,900","708,400","65,500",,,,,,,,,,,,
1991,"4,540,100","3,321,000","2,738,200","582,800",,"1,219,000","426,500","825,600","754,000","71,600",,,,,,,,,,,,
1992,"4,735,600","3,440,500","2,806,200","634,300",,"1,295,200","444,600","882,500","802,200","80,300",,,,,,,,,,,,
1993,"4,884,100","3,514,900","2,843,400","671,500",,"1,369,200","459,800","969,300","879,700","89,600",,,,,,,,,,,,
1994,"5,131,000","3,654,300","2,964,200","690,200",,"1,476,600","486,500","1,054,700","959,700","95,000",,,,,,,,,,,,
1995,"5,382,100","3,796,500","3,096,300","700,200",,"1,585,600","507,000","1,125,900","1,025,600","100,300",,,,,,,,,,,,
1996,"5,531,200","3,884,900","3,180,200","704,700",,"1,646,300","518,500","1,181,900","1,076,400","105,500",,,,,,,,,,,,
1997,"5,701,100","3,957,400","3,266,700","690,800",,"1,743,600","567,100","1,240,700","1,127,700","113,000",,,,,,,,,,,,
1998/d,"5,888,100","4,122,400","3,417,500","705,000",,"1,815,200","592,500","1,307,200","1,184,100","123,000",,,,,,,,,,,,
