Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
"Title. Estimated number of inmates held in local jails or under the jurisdiction of state or federal prisons and incarceration rate, 1980-2014",,,,,,,,,,,,,,,,,,,,,,,,
"Data source:  Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, Census of Jail Inmates, and National Prisoner Statistics Program, 1980-2014",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 1/12/2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated number and rate of persons supervised by U.S. adult correctional systems, by correctional status, 1980-2014",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total correctional population/a,,,,Community supervision population/b,,,,Incarcerated population/c,,,,,,,,,,,,,,,
Year,Total population,"Number under correctional supervision per 100,000 U.S. residents of all ages","Number under correctional supervision per 100,000 U.S. residents age 18 or older",,Total population,"Number on probation or parole per 100,000 U.S. residents of all ages","Number on probation or parole per 100,000 U.S. residents age 18 or older",,Total population,"Number in prison or local jail per 100,000 U.S. residents of all ages/d","Number in prison or local jail per 100,000 U.S. residents age 18 or older/d",,,,,,,,,,,,,
1980," 184,000 ", 80 , 110 ,,"1,338,500",590,810,,"503,600",220,310,,,,,,,,,,,,,
1981," 196,800 ", 90 , 120 ,,"1,445,800",630,860,,"556,800",240,330,,,,,,,,,,,,,
1982," 209,600 ", 90 , 120 ,,"1,579,200",680,930,,"612,500",260,360,,,,,,,,,,,,,
1983," 223,600 ", 100 , 130 ,,"1,754,000",750,1020,,"647,400",280,380,,,,,,,,,,,,,
1984," 234,500 ", 100 , 130 ,,"1,979,700",840,1130,,"682,800",290,390,,,,,,,,,,,,,
1985," 256,600 ", 110 , 150 ,,"2,147,600",900,1220,,"744,200",310,420,,,,,,,,,,,,,
1986," 274,400 ", 110 , 150 ,,"2,421,200",1000,1360,,"815,000",340,460,,,,,,,,,,,,,
1987," 295,900 ", 120 , 160 ,,"2,604,200",1070,1440,,"858,700",350,480,,,,,,,,,,,,,
1988," 343,600 ", 140 , 190 ,,"2,764,500",1130,1520,,"950,400",390,520,,,,,,,,,,,,,
1989," 395,600 ", 160 , 210 ,,"2,977,300",1200,1610,,"1,078,900",430,590,,,,,,,,,,,,,
1990," 405,300 ", 160 , 220 ,,"3,201,600",1280,1720,,"1,148,700",460,620,,,,,,,,,,,,,
1991," 426,500 ", 170 , 230 ,,"3,321,000",1310,1770,,"1,219,000",480,650,,,,,,,,,,,,,
1992," 444,600 ", 170 , 230 ,,"3,440,500",1340,1810,,"1,295,200",500,680,,,,,,,,,,,,,
1993," 459,800 ", 180 , 240 ,,"3,514,900",1360,1830,,"1,369,200",530,710,,,,,,,,,,,,,
1994," 486,500 ", 190 , 250 ,,"3,654,300",1400,1890,,"1,476,600",560,760,,,,,,,,,,,,,
1995," 507,000 ", 190 , 260 ,,"3,796,500",1440,1940,,"1,585,600",600,810,,,,,,,,,,,,,
1996," 518,500 ", 190 , 260 ,,"3,884,900",1460,1970,,"1,646,300",620,830,,,,,,,,,,,,,
1997," 567,100 ", 210 , 280 ,,"3,957,400",1470,1990,,"1,743,600",650,870,,,,,,,,,,,,,
1998/e," 592,500 ", 220 , 290 ,,"4,122,400",1520,2050,,"1,815,200",670,900,,,,,,,,,,,,,
1999/e," 605,900 ", 220 , 300 ,,"4,485,300",1640,2200,,"1,910,400",700,940,,,,,,,,,,,,,
2000," 621,100 ", 220 , 290 ,,"4,564,900",1610,2160,,"1,945,400",690,920,,,,,,,,,,,,,
2001," 631,200 ", 220 , 300 ,,"4,665,700",1630,2180,,"1,962,800",690,920,,,,,,,,,,,,,
2002," 665,500 ", 230 , 310 ,,"4,748,100",1640,2200,,"2,033,100",700,940,,,,,,,,,,,,,
2003," 691,300 ", 240 , 320 ,,"4,847,300",1660,2220,,"2,086,500",720,960,,,,,,,,,,,,,
2004," 714,000 ", 240 , 320 ,,"4,916,300",1670,2230,,"2,136,600",730,970,,,,,,,,,,,,,
2005," 747,500 ", 250 , 330 ,,"4,946,600",1660,2210,,"2,200,400",740,990,,,,,,,,,,,,,
2006," 765,800 ", 260 , 340 ,,"5,035,000",1680,2230,,"2,256,600",750,"1,000",,,,,,,,,,,,,
2007," 780,200 ", 260 , 340 ,,"5,119,000",1690,2240,,"2,296,400",760,"1,000",,,,,,,,,,,,,
2008," 785,500 ", 260 , 340 ,,"5,094,400",1670,2200,,"2,310,300",760,"1,000",,,,,,,,,,,,,
2009," 767,400 ", 250 , 330 ,,"5,015,400",1630,2150,,"2,297,700",750,980,,,,,,,,,,,,,
2010," 748,700 ", 240 , 320 ,,"4,886,000",1570,2070,,"2,279,100",730,960,,,,,,,,,,,,,
2011," 735,600 ", 240 , 310 ,,"4,813,000",1540,2010,,"2,252,500",720,940,,,,,,,,,,,,,
2012," 744,500 ", 240 , 310 ,,"4,785,900",1520,1980,,"2,231,300",710,920,,,,,,,,,,,,,
2013," 731,200 ", 230 , 300 ,,"4,753,400",1500,1950,,"2,222,500",700,910,,,,,,,,,,,,,
2014," 744,600 ", 230 , 300 ,,"4,708,100",1470,1910,,"2,224,400",690,900,,,,,,,,,,,,,
"Note: Estimates may not be comparable to previously published BJS tables or reports due to updated information. Counts were rounded to the nearest 100 and include estimates for nonresponding jurisdictions. Rates were rounded to the nearest 10. All probation, parole, prison counts and rates are for December 31; local jail counts and rates are for the last weekday in June. ",,,,,,,,,,,,,,,,,,,,,,,,
"a/Includes persons living in the community while supervised on probation or parole and inmates incarcerated in state or federal prisons or held in local jails. Includes adjustments made to account for offenders with multiple correctional statuses to prevent double counting of individuals: prisoners held in local jails were excluded from the total incarcerated and total correctional population counts; starting in 1998, probationers who were incarcerated in prisons or local jails were excluded from the total correctional population count;  starting in 2005, parolees who were incarcerated in prisons or local jails were excluded from the total correctional population count; and starting in 2008, parolees who were also on probation were excluded from the total community supervision and total correctional population counts.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes persons living in the community while supervised on probation or parole and some offenders held in a prison or local jail but who remained under the jurisdiction of a probation or parole agency. Starting in 2008, parolees who were also on probation were excluded from the total.",,,,,,,,,,,,,,,,,,,,,,,,
